#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xrandr,"xrandr utility to control resolutions."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,git-lfs,"is a git extension for LFS support."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
G,https://github.com/LukeSmithxyz/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/pdbg/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/pdbg/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,adobe-source-code-pro-fonts,"Monospace font"
,adobe-source-sans-pro-fonts,"Sans font"
A,nerd-fonts-source-code-pro,"Source Code Pro Nerd Font"
A,nerd-fonts-fira-code,"Fira Code Nerd Font"
,nodejs,"NodeJS"
,npm,"Node Package manager"
A,bottom,"Modern top command to view system stats"
A,alacritty-ligatures,"Alacritty terminal with ligatures support"
A,aws-cli-v2-bin,"AWS CLI V2 binary"
A,bat,"Modern cat"
A,ctop-bin,"docker top"
,exa,"Modern ls"
,fd,"Modern find"
A,lazydocker,"docker mgmt"
,ripgrep,"Powerful grep command"
,sd,"Sed replacement written in Rust"
,tldr,"short man page"
A,git-delta-bin,"Blazing fast diff tool written in rust"
A,grpcurl,"gRPC cli"
,jq,"jq - json cli parser"
,jdk11-openjdk,"Open JDK 8"
,tokei,"Show lang wise stats"
,clipmenu,"Clipboard manager"
A,vscodium-bin,"Visual Studio Code"
,picom,"Picom Composition Manager, required for transparency"
,httpie,"Simplied curl"
A,lazygit,"Awesome Git manager"
,calibre,"ebook manager"
,wine,"Windows execution layer"
,winetricks,"Helper util to install wine packages"
,pass,"Password manager"
,pass-otp,"Password OTP manager"
,pandoc,"Document conversion tool"
,wkhtmltopdf,"HTML to PDF conversion tool used by pandoc"
# ,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
# ,texlive-core,"Tex utilities"
,docker,"Docker container"
,nvidia-container-toolkit,"nVidia Container Toolkit required for docker gpus"
,rust," - language tools and compiler"
,p7zip," - 7z tools"
,ueberzug," - lf image preview"
,chafa," - lf text based image preview"
,zola," - rusty static site generator"
,pcmanfm-gtk3," - GUI based file manager"
,gimp,"Image Editing tools like Photoshop"
,alsa-utils,"Audio testing tools."
,pavucontrol,"Audit control tool."
,libtool,"Lib tool for compilation"
,gcc,"GCC compiler"
,gcc-libs,"GCC Libraries"
,tesseract,"OCR tool to capture texts from the image"
,tesseract-data-eng,"English dataset for OCR tool"
,notion-app-enhanced,"Notion - knowledge bank"
,intellij-idea-community-edition,"Intellij Idea IDE"
