#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
A,lf-git,"is an extensive terminal file manager that everyone likes."
,ffmpeg,"can record and splice video and audio on the command line."
A,neovim-nightly-git,"a tidier vim with some useful features"
,man-db,"lets you read man pages of programs."
,newsboat,"is a terminal RSS client."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
A,antigen-git,"Zsh plugin Manager."
,nodejs,"NodeJS"
,npm,"Node Package manager"
A,bottom,"Modern top command to view system stats"
A,aws-cli-v2-bin,"AWS CLI V2 binary"
A,bat,"Modern cat"
A,ctop-bin,"docker top"
,exa,"Modern ls"
,fd,"Modern find"
,ripgrep,"Powerful grep command"
,sd,"Sed replacement written in Rust"
,tldr,"short man page"
A,zoxide-bin,"Alternative to z, quickly change directory"
A,git-delta-bin,"Blazing fast diff tool written in rust"
A,grpcurl,"gRPC cli"
,jq,"jq - json cli parser"
,jdk8-openjdk,"Open JDK 8"
,tokei,"Show lang wise stats"
,httpie,"Simplied curl"
A,lazygit,"Awesome Git manager"
,pass,"Password manager"
,pass-otp,"Password OTP manager"
,pandoc,"Document conversion tool"
,wkhtmltopdf,"HTML to PDF conversion tool used by pandoc"
# ,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,texlive-core,"Tex utilities"
